,count,mean,std,min,25%,50%,75%,max,median
aroma_hay,250.0,0.003565706700000007,1.002540351563234,-0.853634102,-0.6995098805,-0.3952318585,0.31847513175,4.296561197,-0.3952318585
aroma_herb,250.0,-0.029280204808000008,0.9206475641263737,-0.878397815,-0.69265031075,-0.3309429305,0.36760416725,5.005187652,-0.3309429305
aroma_hoppy,250.0,-0.001105526772000001,1.0001771715623946,-0.829606081,-0.71247407175,-0.410524844,0.2853370105,3.74909341,-0.410524844
aroma_horse,250.0,0.0008497311240000087,1.0036677893220693,-0.37764493,-0.37764493,-0.37764493,-0.1637526195,6.049385479,-0.37764493
aroma_kiwi,250.0,-0.004756442356000001,1.0004807153632507,-0.129287974,-0.129287974,-0.129287974,-0.129287974,11.02598801,-0.129287974
aroma_lactic,250.0,2.0749359999989282e-05,1.003505894653728,-0.356846618,-0.356846618,-0.356846618,-0.04483406675,12.66077087,-0.356846618
aroma_lychee,250.0,0.0009739984800000129,1.003948263427722,-0.121749837,-0.121749837,-0.121749837,-0.121749837,14.96912876,-0.121749837
aroma_malt,250.0,0.0015451069240000094,1.0033301812653006,-1.891051731,-0.7214531695,0.11019742499999999,0.743306334,2.347667259,0.11019742499999999
aroma_mango,250.0,-0.010469961644000008,0.9858858262963468,-0.353515591,-0.353515591,-0.353515591,-0.10295961525,7.560362774,-0.353515591
aroma_medicinal,250.0,0.003273693896000001,1.003332624215194,-0.409211748,-0.409211748,-0.409211748,0.08103156375000001,12.50531898,-0.409211748
aroma_metallic,250.0,0.004809434827999994,1.0025497295463182,-0.601179367,-0.56456387275,-0.281486055,0.14218144775,8.856369896,-0.281486055
aroma_orange,250.0,-0.005006796496000007,0.9928818987526565,-0.91404587,-0.8183385285,-0.340484595,0.6434578595,3.838634651,-0.340484595
aroma_papaya,250.0,0.0018036267959999428,1.0038030660538435,-0.225453374,-0.225453374,-0.225453374,-0.225453374,11.78441015,-0.225453374
aroma_papery,250.0,0.0009882458240000106,1.0039465019788345,-0.123530695,-0.123530695,-0.123530695,-0.123530695,15.22167686,-0.123530695
aroma_pear,250.0,0.00629862660400002,1.0013797745746527,-0.964399284,-0.831598894,-0.201615204,0.4409249685,5.075900201,-0.201615204
aroma_pine,250.0,-0.0009647437080000074,1.0030706529645181,-0.34799485,-0.34799485,-0.26618487599999996,-0.08886622450000001,10.2566092,-0.26618487599999996
aroma_pineapple,250.0,-0.012167188564000014,0.9767939737958515,-0.571854989,-0.571854989,-0.3606151225,0.1523394095,7.892379926,-0.3606151225
aroma_resinous,250.0,-0.0076347592679999856,0.9947384135022764,-0.224055596,-0.224055596,-0.224055596,-0.224055596,10.44329067,-0.224055596
aroma_smoky,250.0,0.0021806643680000164,1.0037084013092383,-0.272583066,-0.272583066,-0.272583066,-0.095416223,12.0065777,-0.272583066
aroma_solvent,250.0,0.0026387221080000174,1.0035692729084615,-0.329840286,-0.329840286,-0.329840286,-0.329840286,8.214497678,-0.329840286
aroma_sour,250.0,-0.00045960721600000906,1.002164089795599,-0.618738113,-0.5119481975,-0.392911064,-0.1973827755,3.509377712,-0.392911064
aroma_stale,250.0,-0.0018044904319999943,1.0018612526191428,-0.470737396,-0.470737396,-0.470737396,0.055057282250000006,8.362357755,-0.470737396
aroma_sweet,250.0,0.0014157445479999994,1.003418156000284,-2.136528645,-0.74456387925,0.0020213955000000002,0.7048182915000001,4.699282693,0.0020213955000000002
aroma_toast,250.0,-0.029324270208000033,0.866364039444987,-0.636597692,-0.636597692,-0.4406642065,0.36117113999999995,5.519627718,-0.4406642065
aroma_tropical,250.0,-0.014567958844000018,0.9700974557617643,-0.413252217,-0.413252217,-0.3223111145,-0.032021683,7.184644109,-0.3223111145
